127.0.0.1 - - [19/Jan/2022:08:49:14 -0300] "GET /auth-fielcorresponsal/session/eyJhbGciOiJIUzUxMiJ9.eyJBR0VOQ1lfSUQiOjMwMywiUE9PX05VTUJFUiI6MSwiUk9MRVMiOlsiU1VQRVJWSVNPUiIsIkNBSkVSTyIsIlRBUkpFVEFTIiwiQ1JFRElUT1MiLCJERVBPU0lUTyIsIkVYVFJBQ0NJT05FUyIsIkZJRUxDT0JSQU5aQVMiLCJXRVNURVJOX1VOSU9OIiwiV1VfRU5WSU9TIiwiV1VfUEFHT1MiLCJHSVJJU0lNT19FTlZJTyIsIkdJUklTSU1PX1BBR08iLCJHSVJJU0lNT19ERVZPTFVDSU9OIiwiUkVORElDSU9OIl0sIkFHRU5DWV9OQU1FIjoiVEVLVE9OIFNBIiwiVVNFUl9JRCI6MzU1NiwiVVNFUl9OQU1FIjoidm1haWRhbmEiLCJERVZJQ0VfSUQiOjM5MzYwLCJqdGkiOiIzOThkYjIzYy01NmMxLTQ0ZmItYjJmMC0xNjBiM2RlZjgxZGUiLCJVU0VSX0ZVTExOQU1FIjoiVklDVE9SIE1BTlVFTCBNQUlEQU5BIENBQlJFUkEifQ.Yw7ZrXSlr2wgE-Ak-WV54z5omqk8iOFYBZwwHKOGXtRHdsB3ab5XKMvjaQk4tVGJt4qwqJKrKCRGxbhPnzfqDQ HTTP/1.1" 500 112
127.0.0.1 - - [19/Jan/2022:08:58:58 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [19/Jan/2022:08:58:58 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [19/Jan/2022:08:58:58 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [19/Jan/2022:08:58:58 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [19/Jan/2022:08:58:58 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [19/Jan/2022:08:58:58 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [19/Jan/2022:08:58:58 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [19/Jan/2022:08:58:58 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [19/Jan/2022:08:58:58 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [19/Jan/2022:08:58:58 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [19/Jan/2022:08:58:58 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [19/Jan/2022:08:58:58 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [19/Jan/2022:08:58:58 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [19/Jan/2022:08:58:58 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [19/Jan/2022:08:58:58 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [19/Jan/2022:08:58:58 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [19/Jan/2022:08:58:58 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [19/Jan/2022:08:58:58 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [19/Jan/2022:08:58:58 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [19/Jan/2022:08:58:58 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [19/Jan/2022:08:58:58 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [19/Jan/2022:08:58:58 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [19/Jan/2022:08:58:58 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [19/Jan/2022:08:58:58 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [19/Jan/2022:08:58:58 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [19/Jan/2022:08:58:58 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [19/Jan/2022:08:58:58 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [19/Jan/2022:15:29:39 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [19/Jan/2022:15:29:39 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [19/Jan/2022:15:29:39 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [19/Jan/2022:15:29:39 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [19/Jan/2022:15:29:39 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [19/Jan/2022:15:29:39 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [19/Jan/2022:15:29:39 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [19/Jan/2022:15:29:39 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [19/Jan/2022:15:29:39 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [19/Jan/2022:15:29:39 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [19/Jan/2022:15:29:39 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [19/Jan/2022:15:29:39 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [19/Jan/2022:15:29:39 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [19/Jan/2022:15:29:39 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [19/Jan/2022:15:29:39 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [19/Jan/2022:15:29:39 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [19/Jan/2022:15:29:39 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [19/Jan/2022:15:29:39 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [19/Jan/2022:15:29:39 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [19/Jan/2022:15:29:39 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [19/Jan/2022:15:29:39 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [19/Jan/2022:15:29:39 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [19/Jan/2022:15:29:39 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [19/Jan/2022:15:29:39 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [19/Jan/2022:15:29:39 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [19/Jan/2022:15:29:39 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [19/Jan/2022:15:29:39 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [19/Jan/2022:15:29:39 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [19/Jan/2022:15:29:39 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [19/Jan/2022:15:29:39 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [19/Jan/2022:15:29:39 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [19/Jan/2022:15:29:39 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [19/Jan/2022:15:29:39 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [19/Jan/2022:15:29:39 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [19/Jan/2022:15:29:39 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [19/Jan/2022:15:29:39 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [19/Jan/2022:15:29:39 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [19/Jan/2022:15:29:39 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [19/Jan/2022:15:29:39 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [19/Jan/2022:15:29:39 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [19/Jan/2022:15:29:39 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [19/Jan/2022:15:29:39 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [19/Jan/2022:15:29:39 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [19/Jan/2022:15:29:39 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [19/Jan/2022:15:29:39 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [19/Jan/2022:15:29:39 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [19/Jan/2022:15:29:39 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [19/Jan/2022:15:29:39 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [19/Jan/2022:15:29:39 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [19/Jan/2022:15:29:39 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - tomcat [19/Jan/2022:15:29:39 -0300] "GET /manager/text/ HTTP/1.1" 200 42
127.0.0.1 - - [19/Jan/2022:15:29:39 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - tomcat [19/Jan/2022:15:29:39 -0300] "GET /manager/text/ HTTP/1.1" 200 42
127.0.0.1 - - [19/Jan/2022:15:29:39 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - tomcat [19/Jan/2022:15:29:39 -0300] "GET /manager/text/ HTTP/1.1" 200 42
127.0.0.1 - - [19/Jan/2022:15:29:39 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - tomcat [19/Jan/2022:15:29:39 -0300] "GET /manager/text/ HTTP/1.1" 200 42
127.0.0.1 - tomcat [19/Jan/2022:15:29:39 -0300] "GET /manager/text/list HTTP/1.1" 200 1589
127.0.0.1 - tomcat [19/Jan/2022:15:29:39 -0300] "GET /manager/text/list HTTP/1.1" 200 1589
127.0.0.1 - tomcat [19/Jan/2022:15:29:40 -0300] "GET /manager/text/undeploy?path=/fielcorresponsal HTTP/1.1" 200 84
127.0.0.1 - tomcat [19/Jan/2022:15:29:55 -0300] "GET /manager/text/deploy?config=file%3A%2FC%3A%2FUsers%2FUser%2FAppData%2FLocal%2FTemp%2Fcontext5237192425585841350.xml&path=/fielcorresponsal HTTP/1.1" 200 85
127.0.0.1 - tomcat [19/Jan/2022:15:29:55 -0300] "GET /manager/text/start?path=/fielcorresponsal HTTP/1.1" 200 84
0:0:0:0:0:0:0:1 - - [19/Jan/2022:15:29:55 -0300] "GET /fielcorresponsal HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Jan/2022:15:29:57 -0300] "GET /fielcorresponsal/ HTTP/1.1" 200 10368
0:0:0:0:0:0:0:1 - - [19/Jan/2022:15:29:57 -0300] "GET /fielcorresponsal/resources/css/fielco_general.css?v=2.8.31 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2022:15:29:57 -0300] "GET /fielcorresponsal/resources/css/fielco_lists.css?v=2.8.31 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2022:15:29:57 -0300] "GET /fielcorresponsal/resources/bootstrap/dist/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2022:15:29:57 -0300] "GET /fielcorresponsal/resources/css/fielco_margin.css?v=2.8.31 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2022:15:29:57 -0300] "GET /fielcorresponsal/resources/css/fielco_responsive.css?v=2.8.31 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2022:15:29:57 -0300] "GET /fielcorresponsal/resources/css/jquery.dataTables.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2022:15:29:57 -0300] "GET /fielcorresponsal/resources/fontello/css/animation.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2022:15:29:57 -0300] "GET /fielcorresponsal/resources/css/bootstrap-datepicker.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2022:15:29:57 -0300] "GET /fielcorresponsal/resources/fontello/css/fontello-codes.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2022:15:29:57 -0300] "GET /fielcorresponsal/resources/fontello/css/fontello-embedded.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2022:15:29:57 -0300] "GET /fielcorresponsal/resources/fontello/css/fontello-ie7-codes.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2022:15:29:57 -0300] "GET /fielcorresponsal/resources/fontello/css/fontello-ie7.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2022:15:29:58 -0300] "GET /fielcorresponsal/resources/fontello/css/fontello.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2022:15:29:58 -0300] "GET /fielcorresponsal/resources/webfontkit-font/stylesheet.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2022:15:29:58 -0300] "GET /fielcorresponsal/resources/font-awesome/css/font-awesome.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2022:15:29:58 -0300] "GET /fielcorresponsal/resources/css/autocomplete.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2022:15:29:58 -0300] "GET /fielcorresponsal/resources/Hover-master/css/hover.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2022:15:29:58 -0300] "GET /fielcorresponsal/resources/text_editor/css/quill.snow.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2022:15:29:58 -0300] "GET /fielcorresponsal/resources/jquery/dist/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2022:15:29:58 -0300] "GET /fielcorresponsal/resources/jquery-ui/jquery-ui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2022:15:29:58 -0300] "GET /fielcorresponsal/resources/js/jquery.dataTables.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2022:15:29:58 -0300] "GET /fielcorresponsal/resources/js/bootstrap-datepicker.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2022:15:29:58 -0300] "GET /fielcorresponsal/resources/js/locale/bootstrap-datepicker.es.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2022:15:29:58 -0300] "GET /fielcorresponsal/resources/js/masked_input_1.4.1-min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2022:15:29:58 -0300] "GET /fielcorresponsal/resources/bootstrap/dist/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2022:15:29:58 -0300] "GET /fielcorresponsal/resources/js/fielco_general.js?v=2.8.31 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2022:15:29:58 -0300] "GET /fielcorresponsal/resources/js/ticket.js?v=2.8.31 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2022:15:29:58 -0300] "GET /fielcorresponsal/resources/sha/sha1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2022:15:29:58 -0300] "GET /fielcorresponsal/resources/fingerprint/webrtc.js?v=2.8.31 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2022:15:29:58 -0300] "GET /fielcorresponsal/resources/js/support.js?v=2.8.31 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2022:15:29:58 -0300] "GET /fielcorresponsal/resources/fingerprint/client.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2022:15:29:58 -0300] "GET /fielcorresponsal/resources/js/dataTables.select.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2022:15:29:58 -0300] "GET /fielcorresponsal/resources/text_editor/quill.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2022:15:29:58 -0300] "GET /fielcorresponsal/resources/images/fielco-logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2022:15:29:58 -0300] "GET /fielcorresponsal/resources/css/fielco-print.css?v=2.8.31 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2022:15:29:58 -0300] "GET /fielcorresponsal/resources/webfontkit-font/pt_sans-web-regular-webfont.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2022:15:29:58 -0300] "GET /fielcorresponsal/resources/font-awesome/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2022:15:33:36 -0300] "POST /fielcorresponsal/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Jan/2022:15:33:40 -0300] "GET /fielcorresponsal/home HTTP/1.1" 200 28446
0:0:0:0:0:0:0:1 - - [19/Jan/2022:15:33:41 -0300] "GET /fielcorresponsal/resources/fontello/font/fontello.woff2?44153900 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2022:15:33:41 -0300] "GET /fielcorresponsal/resources/webfontkit-font/pt_sans-web-bolditalic-webfont.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2022:15:33:41 -0300] "GET /fielcorresponsal/resources/webfontkit-font/pt_sans-web-bold-webfont.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2022:15:33:41 -0300] "GET /fielcorresponsal/images/ui-bg_highlight-soft_100_eeeeee_1x100.png HTTP/1.1" 404 5034
0:0:0:0:0:0:0:1 - - [19/Jan/2022:15:33:41 -0300] "GET /fielcorresponsal/resources/bootstrap/dist/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
